poi_id,name,missing_fields
OSM0842,Central Optics,"address, phone"
OSM0843,Moon Garments,"address, phone"
OSM0844,Bengal Money Exchange,"address, phone"
OSM0845,Oversee Optics,"address, phone"
OSM0846,Image Tech,"address, phone"
OSM0847,Gentle Park,"address, phone"
OSM0848,Hanif Paribahan,"address, phone"
OSM0849,Longla,"address, phone"
OSM0850,Computer Source,"address, phone"
OSM0851,Zahir AC Market,"address, phone"
OSM0852,Easy,"address, phone"
OSM0853,Joynal Square,"address, phone"
OSM0854,Eagle Paribahan,"address, phone"
OSM0855,Vaghokul,"address, phone"
OSM0856,Chand & Sons,"address, phone"
OSM0857,Malancha Restore,"address, phone"
OSM0858,Fit Elegance,"address, phone"
OSM0859,Saint Martin Paribahan,"address, phone"
OSM0860,View Sonic,"address, phone"
OSM0861,S Alam Services,"address, phone"
OSM0862,Sawdia Paribahan,"address, phone"
OSM0863,Dutch Pharmacy,"address, phone"
OSM0864,Central Optics,"address, phone"
OSM0865,Bisho Bichitra,"address, phone"
OSM0866,Kashem Drugs,"address, phone"
OSM0867,Islami Bank Bangladesh Ltd,"address, phone"
OSM0868,Computer Link,"address, phone"
OSM0869,Asian Pharmacy,"address, phone"
OSM0870,Atithi fast food,"address, phone"
OSM0871,Tazrin Pharmacy,"address, phone"
OSM0872,World Book Distribution center,"address, phone"
OSM0873,Bagdad Paribahan,"address, phone"
OSM0874,World Bichitra,"address, phone"
OSM0875,Shyamoli Paribahan,"address, phone"
OSM0876,Boi Bichitra,"address, phone"
OSM0877,Daffodil It Institute,"address, phone"
OSM0878,Scaff Money Exchange,"address, phone"
OSM0879,Ramedy Pharma,"address, phone"
OSM0880,Mehedi Panjabi,"address, phone"
OSM0881,Soniya Handicraft,"address, phone"
OSM0882,Tasa Fashion,"address, phone"
OSM0885,Bismillah Dry Laundry,phone
OSM0887,"Scholastica Junior Campus Dhanmondi, Dhanmondi, Dhaka","address, phone"
OSM0888,Prianka Community Center,phone
OSM0889,Kakoli Garments,"address, phone"
OSM0890,New Ranna Ghor,"address, phone"
OSM0891,Comilla Hardware,"address, phone"
OSM0892,Masum Bhai Confectionery,"address, phone"
OSM0893,New Sat Rong,"address, phone"
OSM0894,Badhon Saj Ghor,"address, phone"
OSM0895,Hossain Traders,"address, phone"
OSM0896,Laksham Paint Shop,"address, phone"
OSM0897,Saat Rong,"address, phone"
OSM0898,Haque Bakery,"address, phone"
OSM0899,Sara Video,"address, phone"
OSM0900,S R Garments,"address, phone"
OSM0901,Haque Bakery,"address, phone"
OSM0902,Kudos,phone
OSM0903,Bhooter Bari,"address, phone"
OSM0904,Oasis,"address, phone"
OSM0905,Pulp Fiction,phone
OSM0906,Shaffle,phone
OSM0907,সুন্দরবন কুরিয়ার সার্ভিস,phone
OSM0908,Zaraa Neha Fashions Mall,phone
OSM0909,Wasabi,"address, phone"
OSM0910,Global Islami Bank,"address, phone"
OSM0911,Dutch Bangla Bank,"address, phone"
OSM0912,Jamuna Bank PLC,"address, phone"
OSM0914,Bikrampur Mishtannyo Vandar,phone
OSM0915,Yum Yum,"address, phone"
OSM0916,Food File,"address, phone"
OSM0917,Coffee Lime,"address, phone"
OSM0918,Top Mart,phone
OSM0919,NBRC Bank,phone
